word,RT,drift_score
अंक,573.994594598236,0.4792990088462829
अंग,635.849999962594,0.4747260808944702
अंगरेज,901.380769203175,0.6470352411270142
अंगारे,667.93870969683,0.3950682878494262
अंगुली,685.14687501124,0.5304991602897644
अंगूठा,663.78333331933,0.5355379581451416
अंगूर,657.51176473827,0.503522515296936
अंग्रेज,635.515625033418,0.494939923286438
अंचल,661.108333336859,0.7601486444473267
अंजनि,863.243478283448,0.6823601722717285
अंजान,697.570833329111,0.576958179473877
अंजाने,733.884375033314,0.4792256355285644
अंजाम,671.85862069536,0.4580223560333252
अंजीर,756.099999941353,0.5567443370819092
अंडे,595.700000003124,0.3906584978103637
अंत,582.109090883934,0.539292573928833
अंतर,637.402702776441,0.6070817708969116
अंतरात्मा,963.087499998554,0.3563531637191772
अंतराल,720.850000009825,0.6522103548049927
अंतराष्ट्रीय,698.00909091624,0.4023826122283935
अंतरिक्ष,726.651612972552,0.4442199468612671
अंतरिम,875.788461560365,0.7027461528778076
अंतर्राष्ट्रीय,700.262500000586,0.3449888229370117
अंतहीन,757.138709667174,0.4713290929794311
अंतिम,635.531249985608,0.4838241338729858
अंदरुनी,846.54827587618,0.5755846500396729
अंदरूनी,821.353333276296,0.5075265169143677
अंदाज,599.666666659643,0.4045823812484741
अंध,667.728124967543,0.6620482206344604
अंधकार,672.480645159785,0.2825905084609985
अंधकारमय,1081.91851851956,0.3431518077850342
अंधविश्वासी,961.962162205015,0.3331491947174072
अंधी,584.620000013843,0.4727951288223266
अंधेरी,734.574285772789,0.4103316068649292
अंधेरे,623.993333314996,0.4189223647117615
अंबार,778.17826088691,0.6651966571807861
अकस्मात,901.499999970472,0.7132889032363892
अकाट्य,905.987499991432,0.4914641380310058
अकेलापन,729.320000021656,0.4701783657073974
अक्षम्य,893.531818153104,0.4658446907997131
अक्षय,630.776666679094,0.5560530424118042
अक्स,816.763636311516,0.5433554649353027
अक्सर,634.99333334049,0.4538886547088623
अखंडता,735.280555532139,0.3626135587692261
अखण्ड,678.894117646851,0.5270508527755737
अखिल,728.531818170749,0.5334944725036621
